Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
2. Stringify,Nlohmann (C++11),citm_catalog.json,3.194883,983088,1475176,19,0
2. Stringify,Nlohmann (C++11),twitter.json,2.858854,491568,737896,18,0
3. Prettify,Nlohmann (C++11),canada.json,20.116710,15728688,23593576,23,0
3. Prettify,Nlohmann (C++11),citm_catalog.json,4.386497,1966128,2949736,20,0
3. Prettify,Nlohmann (C++11),twitter.json,3.228115,983088,1475176,19,0
4. Statistics,Nlohmann (C++11),canada.json,1.515535,0,40,1,0
4. Statistics,Nlohmann (C++11),citm_catalog.json,0.557085,0,56,451,0
4. Statistics,Nlohmann (C++11),twitter.json,0.458135,0,472,2336,0
1. Parse,PicoJSON (C++),canada.json,48.656502,4894080,4894120,279133,0
1. Parse,PicoJSON (C++),citm_catalog.json,10.304066,3486648,3486648,57191,0
1. Parse,PicoJSON (C++),twitter.json,6.167953,1874088,1874088,34552,0
2. Stringify,PicoJSON (C++),canada.json,82.159468,3932208,5898320,108897,0
2. Stringify,PicoJSON (C++),citm_catalog.json,8.858264,983088,1474616,17,0
2. Stringify,PicoJSON (C++),twitter.json,4.105686,491568,737336,214,0
4. Statistics,PicoJSON (C++),canada.json,0.966696,0,0,0,0
4. Statistics,PicoJSON (C++),citm_catalog.json,0.469172,0,0,0,0
4. Statistics,PicoJSON (C++),twitter.json,0.239946,0,0,0,0
1. Parse,POCO (C++),canada.json,124.329438,10501088,12753472,1304156,0
1. Parse,POCO (C++),citm_catalog.json,32.294855,12517976,14246408,293979,0
1. Parse,POCO (C++),twitter.json,13.359462,2753336,3386120,96904,0
2. Stringify,POCO (C++),canada.json,44.028970,2090288,4187448,99310,0
2. Stringify,POCO (C++),citm_catalog.json,14.733141,500752,1025048,28151,0
2. Stringify,POCO (C++),twitter.json,11.287502,472992,997288,24029,0
3. Prettify,POCO (C++),canada.json,155.032192,8111424,16500040,99312,0
3. Prettify,POCO (C++),citm_catalog.json,40.859478,2014224,4111384,28153,0
3. Prettify,POCO (C++),twitter.json,16.826733,802896,1851480,24030,0
4. Statistics,POCO (C++),canada.json,5.942620,0,24,1,0
4. Statistics,POCO (C++),citm_catalog.json,1.797574,0,56,451,0
4. Statistics,POCO (C++),twitter.json,0.850953,0,472,2336,0
5. Sax Round-trip,POCO (C++),canada.json,158.801074,1043344,3824344,326653,0
5. Sax Round-trip,POCO (C++),citm_catalog.json,23.323391,500752,2514032,1377,0
5. Sax Round-trip,POCO (C++),twitter.json,14.578866,462176,1418352,6619,0
6. SaxStatistics,POCO (C++),canada.json,60.325951,0,2252136,326641,0
6. SaxStatistics,POCO (C++),citm_catalog.json,12.383283,0,1728264,1366,0
